#DUKE weather file,,,,,,
$state_name=North Carolina,,,,,,
$city_name=Charlotte,,,,,,
$lat_deg=35,,,,,,
$lat_min=13,,,,,,
$long_deg=-80,,,,,,
$long_min=56,,,,,,
$timezone_offset=-4,,,,,,
temperature,wind_speed,humidity,solar_dir,solar_diff,solar_global,
#month:day:hour:minute:second,,,,,,
01:01:08:37:00,42.2,5.5,80.75,56.44,6.29,27.16
01:01:08:42:00,42.5,5.6,80.5,57.14,6.49,28.4
01:01:08:47:00,42.7,5.7,80.25,57.84,6.7,29.62
01:01:08:52:00,43,5.8,80,58.53,6.9,30.83
01:01:08:57:00,43.7,6.2,78.58,59.53,7.08,32.19
01:01:09:02:00,44.4,6.6,77.17,60.32,7.25,33.45
01:01:09:07:00,45,7,75.75,60.78,7.39,34.58
01:01:09:12:00,45.7,7.3,74.33,61.24,7.54,35.7
01:01:09:17:00,46.4,7.7,72.92,61.69,7.68,36.83
01:01:09:22:00,47.1,8.1,71.5,62.15,7.82,37.96
01:01:09:27:00,47.7,8.5,70.08,62.61,7.96,39.08
01:01:09:32:00,48.4,8.9,68.67,63.06,8.1,40.21
01:01:09:37:00,49.1,9.3,67.25,63.52,8.25,41.33
01:01:09:42:00,49.8,9.6,65.83,63.98,8.39,42.46
01:01:09:47:00,50.4,10,64.42,64.44,8.53,43.59
01:01:09:52:00,51.1,10.4,63,64.89,8.67,44.71
01:01:09:57:00,51.3,10.6,62.5,65.35,8.82,45.84
01:01:10:02:00,51.6,10.8,62,65.71,8.93,46.82
01:01:10:07:00,51.8,11,61.5,65.93,9.01,47.57
01:01:10:12:00,52.1,11.2,61,66.15,9.1,48.32
01:01:10:17:00,52.3,11.4,60.5,66.37,9.18,49.08
01:01:10:22:00,52.6,11.6,60,66.59,9.26,49.83
01:01:10:27:00,52.8,11.7,59.5,66.81,9.34,50.58
01:01:10:32:00,53,11.9,59,67.03,9.42,51.34
01:01:10:37:00,53.3,12.1,58.5,67.25,9.5,52.09
01:01:10:42:00,53.5,12.3,58,67.47,9.58,52.84
01:01:10:47:00,53.8,12.5,57.5,67.69,9.67,53.6
01:01:10:52:00,54,12.7,57,67.91,9.75,54.35
01:01:10:57:00,54.3,12.7,58.3,68.13,9.83,55.1
01:01:11:02:00,54.6,12.7,59.61,68.29,9.89,55.67
01:01:11:07:00,54.9,12.7,60.91,68.37,9.92,55.97
01:01:11:12:00,55.2,12.7,62.22,68.45,9.95,56.27
01:01:11:15:00,55.4,12.7,63,68.5,9.97,56.44
01:01:11:20:00,55.9,12.7,62.86,68.58,10,56.74
01:01:11:25:00,56.4,12.7,62.73,68.66,10.03,57.04
01:01:11:30:00,56.9,12.7,62.59,68.73,10.06,57.34
01:01:11:35:00,57.3,12.7,62.46,68.81,10.09,57.63
01:01:11:40:00,57.8,12.7,62.32,68.89,10.12,57.93
01:01:11:45:00,58.3,12.7,62.19,68.97,10.15,58.23
01:01:11:50:00,58.8,12.7,62.05,69.05,10.18,58.52
01:01:11:52:00,59,12.7,62,69.08,10.19,58.64
01:01:11:57:00,58.5,12,63.47,69.16,10.22,58.94
01:01:12:02:00,57.9,11.3,64.94,69.19,10.23,59.05
01:01:12:07:00,57.4,10.7,66.41,69.15,10.21,58.88
